,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
626,Morogoro,TZ,75.0,-6.8167,37.6667,overcast clouds,Nashera Hotel
627,Fort Walton Beach,US,70.0,30.4058,-86.6188,broken clouds,Best Western Ft. Walton Beachfront
628,Coxim,BR,78.04,-18.5067,-54.76,broken clouds,Hotel Avenida
638,Grand Gaube,MU,82.0,-20.0064,57.6608,overcast clouds,Veranda Paul et Virginie Hotel & Spa
645,Hervey Bay,AU,89.6,-25.2986,152.8535,scattered clouds,Shelly Bay Resort
646,Touros,BR,75.2,-5.1989,-35.4608,few clouds,INN NEW HORIZON
647,Alofi,NU,78.8,-19.0595,-169.9187,clear sky,Taloa Heights
649,Namibe,AO,80.8,-15.1961,12.1522,scattered clouds,Hotel Chik Chik Namibe
652,Porto Walter,BR,72.64,-8.2686,-72.7439,moderate rain,Secretaria de saúde
656,Qujing,CN,78.53,25.4833,103.7833,few clouds,Yulong Hotel
657,Salinopolis,BR,78.08,-0.6136,-47.3561,overcast clouds,Salinas Park Resort Maçarico AP101
662,Lorengau,PG,83.66,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
666,Padang,ID,87.8,-0.9492,100.3543,few clouds,Mercure Padang
673,Biak,ID,83.7,-0.9131,122.8766,broken clouds,Penginapan Kim
675,Xichang,CN,86.0,27.8964,102.2634,clear sky,Xichang ibis Hotel
677,Iquitos,PE,77.0,-3.7481,-73.2472,moderate rain,Casa Morey Hotel & Restaurant
679,Marsh Harbour,BS,74.75,26.5412,-77.0636,clear sky,Abaco Beach Resort
